city,CO,NO2,O3,SO2,PM2.5,PM10,overall_aqi
Chicago,520.71,50.04,22.53,6.26,15.68,20.39,62.0
McKinney,273.71,8.82,83.69,2.83,13.53,29.73,121.0
Las Cruces,205.28,0.51,83.69,0.06,21.29,129.35,121.0
Santa Monica,253.68,3.56,77.25,0.78,0.97,1.38,105.0
Union City,407.22,29.13,56.51,6.14,10.43,17.86,47.0
Miami,240.33,5.44,80.11,0.92,3.26,5.37,112.0
Simi Valley,236.99,0.85,82.97,0.1,0.56,0.81,119.0
Mesquite,240.33,3.26,85.83,1.36,7.92,17.94,127.0
Sunrise,263.69,10.8,81.54,2.74,6.6,9.6,116.0
Bellflower,347.14,25.02,69.38,7.87,4.31,7.88,82.0
Saint Louis,367.17,27.76,47.92,8.46,7.22,9.86,40.0
Champaign,297.07,7.8,68.67,1.46,4.33,4.76,80.0
Evanston,400.54,31.87,39.34,3.04,9.43,11.85,39.0
Corona,307.08,12.68,79.39,2.74,4.61,7.56,110.0
Moreno Valley,260.35,4.84,88.69,1.25,2.06,5.22,134.0
Cheektowaga,290.39,11.14,57.94,1.94,2.71,2.92,49.0
Medford,327.11,18.68,50.07,1.36,1.91,3.19,42.0
Lexington-Fayette  county,270.37,8.23,62.94,1.3,3.19,4.16,62.0
Town 'n' Country,263.69,6.51,71.53,0.52,4.35,6.88,89.0
Chula Vista,257.02,5.4,94.41,1.89,1.8,3.06,148.0
North Charleston,267.03,5.74,67.95,1.12,4.8,5.41,77.0
Renton,263.69,4.71,87.98,0.83,0.59,1.26,132.0
Antioch,290.39,10.37,69.38,1.97,6.9,9.79,82.0
Long Beach,297.07,16.79,73.67,8.46,2.35,4.61,95.0
Columbia,270.37,5.74,75.82,1.43,5.88,8.59,102.0
Kalamazoo,280.38,7.8,69.38,1.19,1.56,1.95,82.0
Murfreesboro,253.68,3.17,79.39,1.1,5.56,8.2,110.0
Livermore,280.38,11.65,65.8,3.16,2.94,5.2,71.0
Sioux Falls,253.68,3.94,49.35,1.06,0.77,0.93,41.0
Carolina,226.97,0.17,42.92,0.12,1.05,1.84,36.0
Green Bay,307.08,11.48,46.49,0.15,2.94,4.03,39.0
Cambridge,243.66,2.31,76.53,0.6,1.46,5.46,103.0
San Jose,317.1,17.82,70.1,4.59,5.31,7.79,84.0
Deltona,253.68,4.88,72.24,0.77,3.4,5.19,91.0
Lynn,317.1,17.31,53.64,1.54,1.7,2.81,45.0
Turlock,273.71,7.71,66.52,3.82,1.57,2.51,73.0
Homestead,240.33,4.03,72.96,0.77,2.9,4.29,93.0
Gresham,250.34,5.44,73.67,0.76,0.61,0.89,95.0
Philadelphia,353.81,33.59,47.92,10.01,4.22,5.87,41.0
Olathe,307.08,11.82,59.37,2.12,6.28,7.05,51.0
Orange,447.27,19.02,32.54,2.86,30.72,31.99,80.0
San Leandro,480.65,42.5,38.98,10.01,15.59,22.35,53.0
Los Angeles,260.35,6.08,76.53,1.64,1.61,3.85,103.0
Erie,273.71,5.44,67.23,1.79,2.25,2.81,75.0
Ellicott City,303.75,10.45,68.67,1.88,3.41,5.29,80.0
Fremont,357.15,23.99,61.51,6.56,8.82,13.03,57.0
Warren,330.45,17.65,42.92,1.49,3.0,3.69,36.0
Dothan,236.99,1.39,80.82,0.29,3.73,4.87,114.0
Bk,480.65,63.06,9.3,11.56,11.45,15.69,78.0
Killeen,243.66,2.36,94.41,1.74,16.51,35.88,148.0
Miami Gardens,270.37,14.57,70.81,2.24,5.02,7.15,86.0
Laredo,287.06,3.34,97.28,2.0,22.73,43.71,155.0
Santa Rosa,230.31,0.87,77.96,0.03,0.5,0.75,107.0
East Los Angeles,253.68,7.54,77.96,1.73,1.82,5.14,107.0
Bellevue,290.39,10.88,73.67,1.91,1.5,2.64,95.0
Gulfport,230.31,1.02,90.12,0.47,2.55,6.15,137.0
Elgin,327.11,13.37,55.08,0.97,6.96,8.37,46.0
Victoria,253.68,2.42,72.96,1.12,0.5,0.67,93.0
Brandon,390.53,14.4,35.05,3.52,25.33,26.57,69.0
South Gate,290.39,11.82,75.1,4.11,2.09,4.07,100.0
Plymouth,260.35,10.28,54.36,2.65,3.09,4.67,46.0
Avondale,226.97,0.56,108.72,0.13,3.1,15.31,184.0
O'Fallon,330.45,18.17,54.36,6.32,5.68,7.73,46.0
Pleasanton,340.46,21.94,58.65,5.72,8.76,13.04,49.0
Sacramento,277.04,5.4,55.08,0.32,1.2,1.66,46.0
Camden,353.81,33.59,47.92,10.01,4.22,5.87,41.0
Sterling Heights,330.45,17.65,42.92,1.49,3.0,3.69,36.0
Longmont,230.31,3.13,58.65,1.8,0.5,0.63,49.0
Mobile,240.33,3.13,90.12,0.69,2.55,5.84,137.0
Allen,273.71,8.82,83.69,2.83,13.53,29.73,121.0
Mission Viejo,283.72,11.48,87.26,5.19,2.19,4.27,130.0
Lowell,307.08,12.85,59.37,0.59,1.48,2.35,51.0
Clifton,320.44,17.82,52.93,4.65,3.69,5.83,44.0
Springfield,300.41,7.45,65.09,1.85,5.73,6.31,69.0
Perris,257.02,4.41,88.69,1.1,2.28,5.07,134.0
Atlanta,343.8,26.05,56.51,3.1,9.91,19.75,47.0
Ogden,216.96,4.07,70.81,0.17,1.01,2.0,86.0
Lafayette,220.3,0.83,95.84,0.23,3.26,8.6,152.0
Tempe,263.69,2.29,100.14,0.58,2.96,6.59,162.0
Anchorage,257.02,0.92,57.94,0.01,0.5,0.64,49.0
North Little Rock,250.34,8.05,62.23,6.32,7.62,18.11,60.0
Melbourne,243.66,10.71,11.8,7.39,5.99,9.96,19.0
Goodyear,226.97,0.56,108.72,0.13,3.1,15.31,184.0
Enterprise,226.97,1.19,85.83,0.43,3.23,4.64,127.0
Carmichael,250.34,2.51,45.42,0.94,2.19,5.52,38.0
Reading,240.33,3.26,70.81,0.72,1.66,6.67,86.0
Vancouver,290.39,6.43,48.64,2.03,0.91,2.29,41.0
Arden-Arcade,367.17,16.97,42.2,3.58,4.07,5.34,35.0
Napa,250.34,3.04,71.53,0.49,1.55,2.19,89.0
Albuquerque,226.97,0.78,94.41,0.27,1.24,1.79,148.0
Southfield,317.1,13.71,47.92,0.94,1.88,2.29,40.0
Boise,260.35,3.9,75.1,0.37,1.03,1.53,100.0
Raleigh,293.73,10.11,50.78,3.22,5.69,7.57,43.0
Harlingen,236.99,2.01,80.11,0.71,6.51,18.34,112.0
Sioux City,277.04,5.74,41.13,1.13,1.62,1.76,34.0
Greenville,273.71,5.44,67.95,1.15,6.05,9.01,77.0
Norman,270.37,4.84,75.1,0.59,8.53,22.32,100.0
Carrollton,273.71,8.05,80.82,2.44,15.12,31.95,114.0
Ponce,203.61,0.18,30.04,0.22,1.19,3.33,25.0
Fairfield,233.65,1.82,70.81,0.11,0.97,1.69,86.0
Weston,257.02,9.17,65.09,3.1,3.17,9.09,69.0
Santa Barbara,220.3,1.14,75.1,0.05,0.73,1.38,100.0
Bakersfield,250.34,1.2,80.11,0.29,1.52,1.93,112.0
Midland,201.94,0.8,90.84,0.09,5.32,32.91,139.0
Mountain View,270.37,8.23,70.81,2.24,2.07,3.6,86.0
Lakewood,226.97,4.5,61.51,1.03,0.54,0.77,57.0
Gastonia,287.06,8.74,64.37,2.0,5.78,8.68,66.0
Everett,250.34,3.17,84.4,1.3,0.5,0.76,123.0
Miami Beach,240.33,5.44,80.11,0.92,3.26,5.37,112.0
West Jordan,220.3,5.27,74.39,1.49,0.78,1.92,98.0
Farmington Hills,317.1,13.71,47.92,0.94,1.88,2.29,40.0
Pomona,267.03,7.37,80.82,2.21,4.42,6.54,114.0
Suffolk,277.04,4.63,70.81,1.85,4.0,5.22,86.0
Chesapeake,280.38,5.74,67.95,1.76,4.09,5.43,77.0
Rock Hill,260.35,4.63,63.66,1.22,5.84,8.42,64.0
Saint Cloud,433.92,41.81,21.64,7.99,17.33,19.44,53.0
Lake Charles,220.3,1.91,92.98,1.39,3.07,8.31,144.0
Eau Claire,313.76,13.37,30.04,2.71,2.37,2.85,25.0
Sandy Springs,320.44,17.65,62.94,2.8,9.45,17.5,62.0
Missoula,216.96,0.96,73.67,0.05,0.5,0.52,95.0
Plano,273.71,8.82,83.69,2.83,13.53,29.73,121.0
Columbus,287.06,9.25,65.8,0.81,3.4,4.28,71.0
Beaverton,230.31,0.83,80.11,0.06,0.5,0.72,112.0
Riverview,277.04,2.83,50.78,0.11,0.5,0.61,43.0
Colorado Springs,206.95,4.54,69.38,1.01,0.88,1.09,82.0
San Bernardino,226.97,1.8,85.12,0.32,1.37,5.09,125.0
Loveland,230.31,3.86,58.65,3.07,0.54,0.7,49.0
Reno,250.34,5.1,60.8,0.05,2.31,2.86,55.0
Thornton,220.3,3.56,61.51,0.19,0.5,0.67,57.0
Flint,317.1,10.03,43.27,0.61,5.49,6.11,36.0
Hartford,297.07,9.85,64.37,1.55,1.45,2.38,66.0
Lynchburg,243.66,3.09,81.54,1.37,3.83,5.44,116.0
Quincy,350.48,23.31,41.49,1.73,2.52,4.39,35.0
Casas Adobes,226.97,0.68,95.84,0.14,2.95,11.85,152.0
Ontario,,,,,,,
Stockton,257.02,4.5,67.23,0.97,0.8,1.38,75.0
Kendall,273.71,12.68,68.67,2.38,3.9,5.8,80.0
Murrieta,257.02,4.54,85.83,1.1,2.77,5.35,127.0
Chino,267.03,7.37,80.82,2.21,4.42,6.54,114.0
Lorain,283.72,5.91,65.09,2.18,2.49,3.08,69.0
